Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Update
"[Natural language processing,  machine comprehension]",,M. Richardson et al.,,,,Text,,,,,660,,,,Stories and associated questions for testing comprehension of text.,Dataset for the Machine Comprehension of Text,,2013
"[Natural language processing,  summarization]",,M. Marcus et al.,,,,Text,,,,,~ 1M words,,,,Naturally occurring text annotated for linguistic structure.,The Penn Treebank Project,,1995
[Classification],,Reuters,,,,Text,,,,,2600,,,,"Task given is to determine, from features given, which articles are about corporate acquisitions.",DEXTER Dataset,,2008
"[Classification,  clustering,  regression]",,Google,,,,Text,,,,,2.2 TB of text,,,,N-grams from a very large corpus of books,Google Books N-grams,,2011
"[Classification,  regression]",,K. Luyckx et al.,,,,Text,,,,,145,,,,Collected for experiments in Authorship Attribution and Personality Prediction. Consists of 145 Dutch-language essays.,Personae Corpus,,2008
[Classification],,P. Ciarelli et al.,,,,Text,,,,,1080,,,,Categorization task for free text descriptions of Brazilian companies.,CNAE-9 Dataset,,2012
"[Classification,  sentiment analysis]",,D. Kotzias,,,,Text,,,,,3000,,,,3000 sentiment labeled sentences.,Sentiment Labeled Sentences Dataset,,2015
[Regression],,K. Buza,,,,Text,,,,,60021,,,,Dataset to predict the number of comments a post will receive based on features of that post.,BlogFeedback Dataset,,2014
[Natural language inference/recognizing textual entailment],,S. Bowman et al.,,,,Text,,,,,570000,,,,"Image captions matched with newly constructed sentences to form entailment, contradiction, or neutral pairs.",Stanford Natural Language Inference (SNLI) Corpus,,2015
[Discriminating between similar languages],,"Tan, Liling et al.",,,,Text,,,,,"294,000 phrases",,,,A multilingual collection of short excerpts of journalistic texts in similar languages and dialects.,DSL Corpus Collection (DSLCC),,2017
"[NLP,  Machine comprehension]",,Anonymous,,,,CSV,,,,,2606522,,,,"Corpus of words, votes and definitions",Urban Dictionary Dataset,,2016-05
[Unsupervised discovery of speech features/subword units/word units],,Versteegh et al.,,,,sound,,,,,"English: 5h, 12 speakers; Xitsonga: 2h30; 24 speakers",,,,"Spontaneous speech (English), Read speech (Xitsonga).",Zero Resource Speech Challenge 2015,,2015
"[Classification,  regression]",,B. E. Sakar et al.,,,,Text,,,,,1040,,,,Multiple recordings of people with and without Parkinson's Disease.,Parkinson Speech Dataset,,2013
[Classification],,M. Bedda et al.,,,,Text,,,,,8800,,,,Spoken Arabic digits from 44 male and 44 female.,Spoken Arabic Digits,,2010
[Classification],,R. Cole et al.,,,,Text,,,,,7797,,,,Spoken letter names.,ISOLET Dataset,,1994
[Classification],,M. Kudo et al.,,,,Text,,,,,640,,,,Nine male speakers uttered two Japanese vowels successively.,Japanese Vowels Dataset,,1999
[Classification],,A. Tsanas et al.,,,,Text,,,,,5875,,,,Multiple recordings of people with and without Parkinson's Disease.,Parkinson's Telemonitoring Dataset,,2009
"[Speech recognition,  classification.]",,J. Garofolo et al.,,,,Text,,,,,6300,,,,"Recordings of 630 speakers of eight major dialects of American English, each reading ten phonetically rich sentences.",TIMIT,,1986
"[Speech Synthesis,  Speech Recognition,  Corpus Alignment,  Speech Therapy,  Education.]",,N. Halabi,,,,Text  WAV,,,,,~1900,,,,"A single-speaker, Modern Standard Arabic (MSA) speech corpus with phonetic and orthographic transcripts aligned to phoneme level",Arabic Speech Corpus,,2016
[Speech phoneme and speaker classification],,S.Malekzadeh et al.,,,,Speech sound samples,,,,,Persian: 1794 (To be continued...),,,,Persian phonemes Speech Dataset.,Persian Consonant Vowel Combination (PCVC) Speech Dataset,,2018
"[Geographical classification,  clustering]",,F. Zhou et al.,,,,Text,,,,,1059,,,,Audio features of music samples from different locations.,Geographical Original of Music Data Set,,2014
"[Classification,  clustering]",,T. Bertin-Mahieux et al.,,,,Text,,,,,1M,,,,Audio features from one million different songs.,Million Song Dataset,,2011
